Month,County,IPC3plus_Pop,IPC3plus_Fraction,Maize_Price,Bean_Price,Rainfall,Rainfall_Anomaly
2021-11,Tana River,78986,0.08333333333333333,2475.0,3650.57,59.97306046666667,96.17273566666667
2021-11,Tharaka-Nithi,6680,0.016666666666666666,2475.0,3650.57,100.90058946388888,97.37963191666667
2021-11,Turkana,278093,0.09999999999999999,60.0,100.0,71.63183938888889,107.19946411111111
2021-11,Wajir,234379,0.09999999999999999,2475.0,3650.57,37.50712694722222,99.16393261111111
2021-11,West Pokot,31062,0.016666666666666666,2718.0,6708.0,146.76058308333333,102.68744166666667
2022-02,Baringo,233374,0.11666666666666665,60.0,8100.0,184.792230125,122.51782580555556
2022-02,Embu,13618,0.016666666666666666,81.43,7002.0,114.86526695277777,106.61702869444446
2022-02,Garissa,210339,0.08333333333333333,70.0,3704.5,65.68231526111111,84.94026677777778
2022-02,Isiolo,80401,0.09999999999999999,81.43,7002.0,28.278380778888888,96.03484755555556
2022-02,Kajiado,111784,0.03333333333333333,81.43,9000.0,61.41549728333334,120.76865077777776
2022-02,Kilifi,218068,0.049999999999999996,81.43,7002.0,84.66968615,68.96674208333333
2022-02,Kitui,227237,0.06666666666666667,81.43,7002.0,68.88853626666666,117.04654736111111
2022-02,Kwale,130023,0.049999999999999996,81.43,7002.0,99.91800935555555,74.86541555555556
2022-02,Laikipia,51856,0.03333333333333333,81.43,7002.0,104.97664016666667,101.58380433333335
2022-02,Lamu,21588,0.05000000000000001,81.43,7002.0,60.03448272222222,82.42140605555556
2022-02,Makueni,98765,0.03333333333333333,3330.0,7002.0,83.97730331666666,121.8710058888889
2022-02,Mandera,303610,0.11666666666666665,4005.0,8287.5,26.922538983333332,88.71690177777778
2022-02,Marsabit,229893,0.16666666666666666,81.43,125.0,60.925111722222226,103.75849277777778
2022-02,Meru,152977,0.06666666666666667,81.43,7002.0,105.02876712777777,91.76788613888888
2022-02,Narok,57894,0.016666666666666666,81.43,7002.0,125.71649265277776,112.63875708333333
2022-02,Nyeri,19890,0.03333333333333333,3352.5,7002.0,90.82721733333334,101.74310777777777
2022-02,Samburu,108615,0.11666666666666665,81.43,7002.0,50.889376294444446,93.22127794444444
2022-02,Taita Taveta,34067,0.03333333333333333,81.43,7002.0,46.49970252222222,81.7874065
2022-02,Tana River,78986,0.08333333333333333,81.43,7002.0,83.7532151111111,125.552434
2022-02,Tharaka-Nithi,13360,0.03333333333333333,81.43,7002.0,100.90058946388888,97.37963191666667
